AREAKEY,SHRWHT0,SHRBLK0,SHRHSP0,ADULT0,CHILD0,OLD0,WRKSM0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,SHRAMI0,SHRASN0,SHRHIP0,NONFAM0P,WNONFAM0P,COMMUT20NWKH,WMEMP0P,WFEMP0P,VACHU0P,RNTOCC0P
34003001000,0.920545,0.006285,0.019752,0.698189,0.301511,0.141254,0.636611,182,0.018173,0.012334,6416.346154,6000.2,113379,15151.037344,19367.720588,0,0.06838246296573396,0,0.15180265654648956,0.15180265654648956,0.47226947941476694,0.7495107632093934,0.5150250417362271,0.014967259120673527,0.0930776426566885
34003002100,0.76546,0.014659,0.014201,0.754924,0.245076,0.143839,0.44254,85,0.061842,0.016949,6291.666667,6291.666667,134068,16614.545455,28189.473684,0,0.2033898305084746,0,0.10875706214689265,0.1059322033898305,0.2701612903225806,0.7279752704791345,0.4362818590704648,0.030136986301369864,0.1
34003002200,0.829314,0.016491,0.04968,0.772624,0.227376,0.171099,0.704185,260,0.050593,0.062198,6000.970874,6679.710145,82185,14171.537002,16872.77937,0.0010307153164296021,0.13048855905998763,0,0.21618357487922704,0.20531400966183574,0.5501828524989841,0.6936005171299289,0.584055459272097,0.016109785202863963,0.1807875894988067
34003002300,0.794123,0.013389,0.026604,0.731525,0.268475,0.153365,0.663738,179,0.049103,0.020076,5256.756757,8300,100329,14240.137615,20819.366197,0,0.18848895844201008,1.738828029907842e-4,0.1432447097124254,0.14053174172544763,0.39496805111821087,0.7232742822235797,0.4737400530503979,0.01641949152542373,0.1440677966101695
34003003100,0.682816,0.055567,0.158197,0.76666,0.23334,0.138224,0.667435,257,0.045093,0.045217,6080.769231,6629.090909,79287,11946.985447,16126.582278,0.005141388174807198,0.20071188451651176,0,0.24869565217391304,0.23478260869565218,0.48847926267281105,0.7313891020721413,0.6134397870924817,0.024280067758328628,0.17391304347826086
34003003200,0.649866,0.065343,0.20562,0.7781,0.2219,0.126673,0.723367,201,0.04579,0.041863,3781.690141,5214.285714,57031,12213.808463,14250.655022,0.0024531668153434435,0.19603033006244425,0.0015611061552185548,0.34846698113207547,0.30247641509433965,0.5160017536168348,0.7416225749559083,0.6194690265486725,0.01733102253032929,0.5274407856730213
34003003300,0.649016,0.06787,0.152745,0.742989,0.256862,0.141408,0.622303,390,0.035474,0.017939,10584.307692,11999.806452,74467,14587.449541,18178.099788,2.983293556085919e-4,0.21062052505966586,0,0.2014719411223551,0.18261269549218032,0.4907323002127013,0.732045866022933,0.5732970027247957,0.018083182640144666,0.15099457504520797
34003003401,0.727069,0.054287,0.11082,0.73568,0.26432,0.114189,0.696991,150,0.013493,0.035545,5656.666667,4440.909091,86408,14722.513089,15612.345679,3.7439161362785476e-4,0.17821040808685887,0,0.16587677725118483,0.14454976303317535,0.5136459062281316,0.7865329512893983,0.6005089058524173,0.018757327080890972,0.053927315357561546
34003003402,0.638428,0.073972,0.124923,0.736955,0.263045,0.178023,0.730282,169,0.009873,0.027002,4317.241379,5309.090909,73125,16136.666667,19324.789916,0.002148557397176182,0.23050951503990177,0,0.18156424581005587,0.16759776536312848,0.5035211267605634,0.5818181818181818,0.47477064220183485,0.008287292817679558,0.11786372007366483
34003003500,0.523531,0.141673,0.237503,0.747866,0.252134,0.129968,0.669898,176,0.044379,0.037992,5558.928571,6800,63889,11889.327146,10374.895397,0,0.2582297000731529,2.43842965130456e-4,0.29579375848032563,0.21370420624151967,0.4576530612244898,0.6492346938775511,0.47130242825607066,0.01795212765957447,0.5771276595744681
34003004001,0.761411,0.099132,0.199944,0.75189,0.24783,0.109213,0.61479,168,0.040123,0.036232,3926,10216.666667,69841,12592.732143,16588.968085,0,0.07756930831699804,0,0.24235104669887278,0.1996779388083736,0.5099337748344371,0.7359050445103857,0.5847234416154522,0.013481363996827915,0.3267248215701824
34003004002,0.761437,0.099615,0.200299,0.752031,0.248183,0.109448,0.615417,222,0.040266,0.036219,3922.542373,9559.52381,69841,12585.381471,16539.975709,2.1376656690893543e-4,0.07802479692176144,0,0.24248004910988336,0.2007366482504604,0.5101095197978096,0.7360482654600302,0.5853985264567984,0.014510278113663845,0.32769044740024184
34003005000,0.905178,0.014459,0.081708,0.813383,0.186449,0.147613,0.614725,247,0.060534,0.04875,4185.752137,6475.421053,62040,11437.536903,11669.405473,8.406186953597848e-4,0.06422326832548755,0,0.3283333333333333,0.3145833333333333,0.5696604252618216,0.7764265668849392,0.5327102803738317,0.03219315895372234,0.4124748490945674
34003006100,0.822625,0.008607,0.135567,0.817246,0.182754,0.166769,0.545455,286,0.101739,0.045055,4337.398374,5707.954545,51269,11937.440191,14783.739837,0.002151859821703043,0.131724561942822,1.537042729787888e-4,0.3761904761904762,0.3282051282051282,0.4463097877732024,0.6635651322233105,0.4838039867109635,0.03577754162238753,0.4987601842012044
34003006201,0.802598,0.022731,0.12391,0.867373,0.132456,0.250726,0.506324,180,0.091454,0.059675,6045.521212,7331.148148,61486,13759.571286,18719.195473,0.0015381985985301657,0.13672876431379252,6.836438215689625e-4,0.4177215189873418,0.3450271247739602,0.40438988095238093,0.6253312135665077,0.4203096539162113,0.031490552834149754,0.4356193142057383
